SEAS YR   ANOM
DJF  1973  1.8
JFM  1973  1.2
FMA  1973  0.5
MAM  1973 -0.1
AMJ  1973 -0.5
MJJ  1973 -0.9
JJA  1973 -1.1
JAS  1973 -1.3
ASO  1973 -1.5
SON  1973 -1.7
OND  1973 -1.9
NDJ  1973 -2.0
DJF  1974 -1.8
JFM  1974 -1.6
FMA  1974 -1.2
MAM  1974 -1.0
AMJ  1974 -0.9
MJJ  1974 -0.8
JJA  1974 -0.5
JAS  1974 -0.4
ASO  1974 -0.4
SON  1974 -0.6
OND  1974 -0.8
NDJ  1974 -0.6
DJF  1975 -0.5
JFM  1975 -0.6
FMA  1975 -0.7
MAM  1975 -0.7
AMJ  1975 -0.8
MJJ  1975 -1.0
JJA  1975 -1.1
JAS  1975 -1.2
ASO  1975 -1.4
SON  1975 -1.4
OND  1975 -1.6
NDJ  1975 -1.7
DJF  1976 -1.6
JFM  1976 -1.2
FMA  1976 -0.7
MAM  1976 -0.5
AMJ  1976 -0.3
MJJ  1976  0.0
JJA  1976  0.2
JAS  1976  0.4
ASO  1976  0.6
SON  1976  0.8
OND  1976  0.9
NDJ  1976  0.8
DJF  1977  0.7
JFM  1977  0.6
FMA  1977  0.3
MAM  1977  0.2
AMJ  1977  0.2
MJJ  1977  0.3
JJA  1977  0.4
JAS  1977  0.4
ASO  1977  0.6
SON  1977  0.7
OND  1977  0.8
NDJ  1977  0.8
DJF  1978  0.7
JFM  1978  0.4
FMA  1978  0.1
MAM  1978 -0.2
AMJ  1978 -0.3
MJJ  1978 -0.3
JJA  1978 -0.4
JAS  1978 -0.4
ASO  1978 -0.4
SON  1978 -0.3
OND  1978 -0.1
NDJ  1978  0.0
DJF  1979  0.0
JFM  1979  0.1
FMA  1979  0.2
MAM  1979  0.3
AMJ  1979  0.2
MJJ  1979  0.0
JJA  1979  0.0
JAS  1979  0.2
ASO  1979  0.3
SON  1979  0.5
OND  1979  0.5
NDJ  1979  0.6
DJF  1980  0.6
JFM  1980  0.5
FMA  1980  0.3
MAM  1980  0.4
AMJ  1980  0.5
MJJ  1980  0.5
JJA  1980  0.3
JAS  1980  0.0
ASO  1980 -0.1
SON  1980  0.0
OND  1980  0.1
NDJ  1980  0.0
DJF  1981 -0.3
JFM  1981 -0.5
FMA  1981 -0.5
MAM  1981 -0.4
AMJ  1981 -0.3
MJJ  1981 -0.3
JJA  1981 -0.3
JAS  1981 -0.2
ASO  1981 -0.2
SON  1981 -0.1
OND  1981 -0.2
NDJ  1981 -0.1
DJF  1982  0.0
JFM  1982  0.1
FMA  1982  0.2
MAM  1982  0.5
AMJ  1982  0.7
MJJ  1982  0.7
JJA  1982  0.8
JAS  1982  1.1
ASO  1982  1.6
SON  1982  2.0
OND  1982  2.2
NDJ  1982  2.2
DJF  1983  2.2
JFM  1983  1.9
FMA  1983  1.5
MAM  1983  1.3
AMJ  1983  1.1
MJJ  1983  0.7
JJA  1983  0.3
JAS  1983 -0.1
ASO  1983 -0.5
SON  1983 -0.8
OND  1983 -1.0
NDJ  1983 -0.9
DJF  1984 -0.6
JFM  1984 -0.4
FMA  1984 -0.3
MAM  1984 -0.4
AMJ  1984 -0.5
MJJ  1984 -0.4
JJA  1984 -0.3
JAS  1984 -0.2
ASO  1984 -0.2
SON  1984 -0.6
OND  1984 -0.9
NDJ  1984 -1.1
DJF  1985 -1.0
JFM  1985 -0.8
FMA  1985 -0.8
MAM  1985 -0.8
AMJ  1985 -0.8
MJJ  1985 -0.6
JJA  1985 -0.5
JAS  1985 -0.5
ASO  1985 -0.4
SON  1985 -0.3
OND  1985 -0.3
NDJ  1985 -0.4
DJF  1986 -0.5
JFM  1986 -0.5
FMA  1986 -0.3
MAM  1986 -0.2
AMJ  1986 -0.1
MJJ  1986  0.0
JJA  1986  0.2
JAS  1986  0.4
ASO  1986  0.7
SON  1986  0.9
OND  1986  1.1
NDJ  1986  1.2
DJF  1987  1.2
JFM  1987  1.2
FMA  1987  1.1
MAM  1987  0.9
AMJ  1987  1.0
MJJ  1987  1.2
JJA  1987  1.5
JAS  1987  1.7
ASO  1987  1.6
SON  1987  1.5
OND  1987  1.3
NDJ  1987  1.1
DJF  1988  0.8
JFM  1988  0.5
FMA  1988  0.1
MAM  1988 -0.3
AMJ  1988 -0.9
MJJ  1988 -1.3
JJA  1988 -1.3
JAS  1988 -1.1
ASO  1988 -1.2
SON  1988 -1.5
OND  1988 -1.8
NDJ  1988 -1.8
DJF  1989 -1.7
JFM  1989 -1.4
FMA  1989 -1.1
MAM  1989 -0.8
AMJ  1989 -0.6
MJJ  1989 -0.4
JJA  1989 -0.3
JAS  1989 -0.3
ASO  1989 -0.2
SON  1989 -0.2
OND  1989 -0.2
NDJ  1989 -0.1
DJF  1990  0.1
JFM  1990  0.2
FMA  1990  0.3
MAM  1990  0.3
AMJ  1990  0.3
MJJ  1990  0.3
JJA  1990  0.3
JAS  1990  0.4
ASO  1990  0.4
SON  1990  0.3
OND  1990  0.4
NDJ  1990  0.4
DJF  1991  0.4
JFM  1991  0.3
FMA  1991  0.2
MAM  1991  0.3
AMJ  1991  0.5
MJJ  1991  0.6
JJA  1991  0.7
JAS  1991  0.6
ASO  1991  0.6
SON  1991  0.8
OND  1991  1.2
NDJ  1991  1.5
DJF  1992  1.7
JFM  1992  1.6
FMA  1992  1.5
MAM  1992  1.3
AMJ  1992  1.1
MJJ  1992  0.7
JJA  1992  0.4
JAS  1992  0.1
ASO  1992 -0.1
SON  1992 -0.2
OND  1992 -0.3
NDJ  1992 -0.1
DJF  1993  0.1
JFM  1993  0.3
FMA  1993  0.5
MAM  1993  0.7
AMJ  1993  0.7
MJJ  1993  0.6
JJA  1993  0.3
JAS  1993  0.3
ASO  1993  0.2
SON  1993  0.1
OND  1993  0.0
NDJ  1993  0.1
DJF  1994  0.1
JFM  1994  0.1
FMA  1994  0.2
MAM  1994  0.3
AMJ  1994  0.4
MJJ  1994  0.4
JJA  1994  0.4
JAS  1994  0.4
ASO  1994  0.6
SON  1994  0.7
OND  1994  1.0
NDJ  1994  1.1
DJF  1995  1.0
JFM  1995  0.7
FMA  1995  0.5
MAM  1995  0.3
AMJ  1995  0.1
MJJ  1995  0.0
JJA  1995 -0.2
JAS  1995 -0.5
ASO  1995 -0.8
SON  1995 -1.0
OND  1995 -1.0
NDJ  1995 -1.0
DJF  1996 -0.9
JFM  1996 -0.8
FMA  1996 -0.6
MAM  1996 -0.4
AMJ  1996 -0.3
MJJ  1996 -0.3
JJA  1996 -0.3
JAS  1996 -0.3
ASO  1996 -0.4
SON  1996 -0.4
OND  1996 -0.4
NDJ  1996 -0.5
DJF  1997 -0.5
JFM  1997 -0.4
FMA  1997 -0.1
MAM  1997  0.3
AMJ  1997  0.8
MJJ  1997  1.2
JJA  1997  1.6
JAS  1997  1.9
ASO  1997  2.1
SON  1997  2.3
OND  1997  2.4
NDJ  1997  2.4
DJF  1998  2.2
JFM  1998  1.9
FMA  1998  1.4
MAM  1998  1.0
AMJ  1998  0.5
MJJ  1998 -0.1
JJA  1998 -0.8
JAS  1998 -1.1
ASO  1998 -1.3
SON  1998 -1.4
OND  1998 -1.5
NDJ  1998 -1.6
DJF  1999 -1.5
JFM  1999 -1.3
FMA  1999 -1.1
MAM  1999 -1.0
AMJ  1999 -1.0
MJJ  1999 -1.0
JJA  1999 -1.1
JAS  1999 -1.1
ASO  1999 -1.2
SON  1999 -1.3
OND  1999 -1.5
NDJ  1999 -1.7
DJF  2000 -1.7
JFM  2000 -1.4
FMA  2000 -1.1
MAM  2000 -0.8
AMJ  2000 -0.7
MJJ  2000 -0.6
JJA  2000 -0.6
JAS  2000 -0.5
ASO  2000 -0.5
SON  2000 -0.6
OND  2000 -0.7
NDJ  2000 -0.7
DJF  2001 -0.7
JFM  2001 -0.5
FMA  2001 -0.4
MAM  2001 -0.3
AMJ  2001 -0.3
MJJ  2001 -0.1
JJA  2001 -0.1
JAS  2001 -0.1
ASO  2001 -0.2
SON  2001 -0.3
OND  2001 -0.3
NDJ  2001 -0.3
DJF  2002 -0.1
JFM  2002  0.0
FMA  2002  0.1
MAM  2002  0.2
AMJ  2002  0.4
MJJ  2002  0.7
JJA  2002  0.8
JAS  2002  0.9
ASO  2002  1.0
SON  2002  1.2
OND  2002  1.3
NDJ  2002  1.1
DJF  2003  0.9
JFM  2003  0.6
FMA  2003  0.4
MAM  2003  0.0
AMJ  2003 -0.3
MJJ  2003 -0.2
JJA  2003  0.1
JAS  2003  0.2
ASO  2003  0.3
SON  2003  0.3
OND  2003  0.4
NDJ  2003  0.4
DJF  2004  0.4
JFM  2004  0.3
FMA  2004  0.2
MAM  2004  0.2
AMJ  2004  0.2
MJJ  2004  0.3
JJA  2004  0.5
JAS  2004  0.6
ASO  2004  0.7
SON  2004  0.7
OND  2004  0.7
NDJ  2004  0.7
DJF  2005  0.6
JFM  2005  0.6
FMA  2005  0.4
MAM  2005  0.4
AMJ  2005  0.3
MJJ  2005  0.1
JJA  2005 -0.1
JAS  2005 -0.1
ASO  2005 -0.1
SON  2005 -0.3
OND  2005 -0.6
NDJ  2005 -0.8
DJF  2006 -0.9
JFM  2006 -0.8
FMA  2006 -0.6
MAM  2006 -0.4
AMJ  2006 -0.1
MJJ  2006  0.0
JJA  2006  0.1
JAS  2006  0.3
ASO  2006  0.5
SON  2006  0.8
OND  2006  0.9
NDJ  2006  0.9
DJF  2007  0.7
JFM  2007  0.2
FMA  2007 -0.1
MAM  2007 -0.3
AMJ  2007 -0.4
MJJ  2007 -0.5
JJA  2007 -0.6
JAS  2007 -0.8
ASO  2007 -1.1
SON  2007 -1.3
OND  2007 -1.5
NDJ  2007 -1.6
DJF  2008 -1.6
JFM  2008 -1.5
FMA  2008 -1.3
MAM  2008 -1.0
AMJ  2008 -0.8
MJJ  2008 -0.6
JJA  2008 -0.4
JAS  2008 -0.2
ASO  2008 -0.2
SON  2008 -0.4
OND  2008 -0.6
NDJ  2008 -0.7
DJF  2009 -0.8
JFM  2009 -0.8
FMA  2009 -0.6
MAM  2009 -0.3
AMJ  2009  0.0
MJJ  2009  0.3
JJA  2009  0.5
JAS  2009  0.6
ASO  2009  0.7
SON  2009  1.0
OND  2009  1.4
NDJ  2009  1.6
DJF  2010  1.5
JFM  2010  1.2
FMA  2010  0.8
MAM  2010  0.4
AMJ  2010 -0.2
MJJ  2010 -0.7
JJA  2010 -1.0
JAS  2010 -1.3
ASO  2010 -1.6
SON  2010 -1.6
OND  2010 -1.6
NDJ  2010 -1.5
DJF  2011 -1.3
JFM  2011 -1.0
FMA  2011 -0.8
MAM  2011 -0.6
AMJ  2011 -0.5
MJJ  2011 -0.4
JJA  2011 -0.4
JAS  2011 -0.6
ASO  2011 -0.8
SON  2011 -1.0
OND  2011 -1.0
NDJ  2011 -0.9
DJF  2012 -0.7
JFM  2012 -0.6
FMA  2012 -0.5
MAM  2012 -0.4
AMJ  2012 -0.2
MJJ  2012  0.1
JJA  2012  0.3
JAS  2012  0.4
ASO  2012  0.4
SON  2012  0.3
OND  2012  0.1
NDJ  2012 -0.1
DJF  2013 -0.3
JFM  2013 -0.3
FMA  2013 -0.2
MAM  2013 -0.2
AMJ  2013 -0.3
MJJ  2013 -0.3
JJA  2013 -0.4
JAS  2013 -0.3
ASO  2013 -0.2
SON  2013 -0.1
OND  2013 -0.1
NDJ  2013 -0.2
DJF  2014 -0.3
JFM  2014 -0.3
FMA  2014 -0.1
MAM  2014  0.2
AMJ  2014  0.3
MJJ  2014  0.2
JJA  2014  0.1
JAS  2014  0.1
ASO  2014  0.3
SON  2014  0.5
OND  2014  0.7
NDJ  2014  0.8
DJF  2015  0.7
JFM  2015  0.6
FMA  2015  0.7
MAM  2015  0.8
AMJ  2015  1.0
MJJ  2015  1.3
JJA  2015  1.6
JAS  2015  1.9
ASO  2015  2.2
SON  2015  2.5
OND  2015  2.6
NDJ  2015  2.8
DJF  2016  2.6
JFM  2016  2.3
FMA  2016  1.7
MAM  2016  1.0
AMJ  2016  0.5
MJJ  2016  0.0
JJA  2016 -0.3
JAS  2016 -0.5
ASO  2016 -0.6
SON  2016 -0.6
OND  2016 -0.6
NDJ  2016 -0.5
DJF  2017 -0.2
JFM  2017  0.0
FMA  2017  0.2
MAM  2017  0.3
AMJ  2017  0.4
MJJ  2017  0.4
JJA  2017  0.2
JAS  2017 -0.1
ASO  2017 -0.3
SON  2017 -0.6
OND  2017 -0.8
NDJ  2017 -0.9
DJF  2018 -0.8
JFM  2018 -0.7
FMA  2018 -0.6
MAM  2018 -0.4
AMJ  2018 -0.1
MJJ  2018  0.1
JJA  2018  0.1
JAS  2018  0.3
ASO  2018  0.5
SON  2018  0.8
OND  2018  1.0
NDJ  2018  0.9
DJF  2019  0.9
JFM  2019  0.9
FMA  2019  0.8
MAM  2019  0.8
AMJ  2019  0.6
MJJ  2019  0.5
JJA  2019  0.3
JAS  2019  0.2
ASO  2019  0.2
SON  2019  0.4
OND  2019  0.6
NDJ  2019  0.7
DJF  2020  0.6
JFM  2020  0.6
FMA  2020  0.5
MAM  2020  0.3
AMJ  2020  0.0
MJJ  2020 -0.2
JJA  2020 -0.4
JAS  2020 -0.5
ASO  2020 -0.8
SON  2020 -1.1
OND  2020 -1.2
NDJ  2020 -1.1
DJF  2021 -0.9
JFM  2021 -0.8
FMA  2021 -0.7
MAM  2021 -0.5
AMJ  2021 -0.4
MJJ  2021 -0.3
JJA  2021 -0.3
JAS  2021 -0.4
ASO  2021 -0.6
SON  2021 -0.8
OND  2021 -0.9
NDJ  2021 -0.9
DJF  2022 -0.8
JFM  2022 -0.8
FMA  2022 -0.9
MAM  2022 -1.0
AMJ  2022 -0.9
MJJ  2022 -0.8
JJA  2022 -0.8
JAS  2022 -0.9
ASO  2022 -1.0
SON  2022 -0.9
OND  2022 -0.8
NDJ  2022 -0.7
DJF  2023 -0.5
JFM  2023 -0.3
FMA  2023  0.0
MAM  2023  0.3
AMJ  2023  0.6
MJJ  2023  0.8
JJA  2023  1.1
JAS  2023  1.4
ASO  2023  1.6
SON  2023  1.8
OND  2023  2.0
NDJ  2023  2.1
DJF  2024  1.9
JFM  2024  1.6
FMA  2024  1.3
MAM  2024  0.8
AMJ  2024  0.5
MJJ  2024  0.2
JJA  2024  0.1
JAS  2024 -0.1
ASO  2024 -0.2
SON  2024 -0.2
OND  2024 -0.3
NDJ  2024 -0.4
DJF  2025 -0.4
JFM  2025 -0.2
FMA  2025 -0.1
MAM  2025  0.0
AMJ  2025  0.0
MJJ  2025  0.0
JJA  2025 -0.1
JAS  2025 -0.3
ASO  2025 -0.4
SON  2025 -0.5
OND  2025 -0.6
NDJ  2025 -0.5
DJF  2026 -0.4
JFM  2026 -0.1
FMA  2026  0.1
